"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"120",119,71.3252,3395.6853,-8,"California","5yrave","omni-directional_wave_power_119",35433.99372,c(38.9123, -123.767)
"121",120,149.0653,15644.309,-8,"Federal","5yrave","omni-directional_wave_power_120",38542.54418,c(38.9182, -123.918)
"122",121,1455.4731,30004.312,-8,"Federal","5yrave","omni-directional_wave_power_121",40841.04569,c(38.9243, -124.088)
"123",122,2542.4153,43819.082,-8,"Federal","5yrave","omni-directional_wave_power_122",42551.17451,c(38.9085, -124.246)
"124",123,3385.439,59326.66,-8,"Federal","5yrave","omni-directional_wave_power_123",44323.8888,c(38.919, -124.427)
"125",124,68.24,2029.6168,-8,"California","5yrave","omni-directional_wave_power_124",22707.31484,c(38.6934, -123.472)
"126",125,88.1709,5763.922,-8,"California","5yrave","omni-directional_wave_power_125",30343.99406,c(38.7386, -123.595)
"127",126,132.8361,13907.094,-8,"Federal","5yrave","omni-directional_wave_power_126",36725.55948,c(38.7492, -123.752)
"128",127,1293.5299,25086.39,-8,"Federal","5yrave","omni-directional_wave_power_127",39952.01418,c(38.7471, -123.917)
"129",128,2376.0244,36916.266,-8,"Federal","5yrave","omni-directional_wave_power_128",41864.19429,c(38.75, -124.095)
"130",129,3132.1633,48720.945,-8,"Federal","5yrave","omni-directional_wave_power_129",43234.78634,c(38.749, -124.246)
"131",130,3421.782,62280.688,-8,"Federal","5yrave","omni-directional_wave_power_130",44694.21699,c(38.7533, -124.414)
"132",131,62.1931,1760.3339,-8,"California","5yrave","omni-directional_wave_power_131",25498.67167,c(38.5231, -123.298)
"133",132,92.868,5706.6357,-8,"Federal","5yrave","omni-directional_wave_power_132",28889.06222,c(38.5764, -123.426)
"134",133,143.5954,16560.734,-8,"Federal","5yrave","omni-directional_wave_power_133",34982.94098,c(38.585, -123.583)
"135",134,684.0842,26694.479,-8,"Federal","5yrave","omni-directional_wave_power_134",38911.20519,c(38.5825, -123.748)
"136",135,1955.3656,36492.918,-8,"Federal","5yrave","omni-directional_wave_power_135",41029.95077,c(38.5856, -123.914)
"137",136,2495.1016,47065.707,-8,"Federal","5yrave","omni-directional_wave_power_136",42598.54769,c(38.5925, -124.082)
"138",137,3203.0864,58539.492,-8,"Federal","5yrave","omni-directional_wave_power_137",43929.16032,c(38.5858, -124.251)
"139",138,3541.7695,70144.64,-8,"Federal","5yrave","omni-directional_wave_power_138",45091.18068,c(38.579, -124.409)
"140",139,45.153,2875.3284,-8,"California","5yrave","omni-directional_wave_power_139",21345.59067,c(38.3864, -123.128)
"141",140,89.9212,9633.582,-8,"Federal","5yrave","omni-directional_wave_power_140",28665.1392,c(38.4147, -123.253)
"142",141,127.4641,17390.959,-8,"Federal","5yrave","omni-directional_wave_power_141",33801.15666,c(38.4165, -123.417)
"143",142,241.542,27541.79,-8,"Federal","5yrave","omni-directional_wave_power_142",38010.41733,c(38.4126, -123.583)
"144",143,1367.2183,39708.508,-8,"Federal","5yrave","omni-directional_wave_power_143",40342.69225,c(38.412, -123.755)
"145",144,2177.1394,50596.47,-8,"Federal","5yrave","omni-directional_wave_power_144",42132.65824,c(38.4097, -123.915)
"146",145,3373.6855,60777.07,-8,"Federal","5yrave","omni-directional_wave_power_145",43470.20866,c(38.414, -124.091)
"147",146,0.1173,229.61432,-8,"California","5yrave","omni-directional_wave_power_146",20.0274442,c(38.1757, -122.957)
"148",147,76.0908,6254.8735,-8,"Federal","5yrave","omni-directional_wave_power_147",28466.17865,c(38.2459, -123.089)
"149",148,103.3976,17038.793,-8,"Federal","5yrave","omni-directional_wave_power_148",33192.1595,c(38.2507, -123.252)
"150",149,247.85,30966.666,-8,"Federal","5yrave","omni-directional_wave_power_149",36965.78951,c(38.2467, -123.42)
"151",150,579.5368,40296.387,-8,"Federal","5yrave","omni-directional_wave_power_150",39359.04741,c(38.2541, -123.58)
"152",151,1979.7684,49919.254,-8,"Federal","5yrave","omni-directional_wave_power_151",41228.47561,c(38.2583, -123.752)
"153",152,3386.1484,62090.375,-8,"Federal","5yrave","omni-directional_wave_power_152",42833.11457,c(38.2401, -123.913)
"154",153,3579.2583,72859.01,-8,"Federal","5yrave","omni-directional_wave_power_153",43828.79915,c(38.2518, -124.075)
"155",154,1.9509,269.9063,-8,"California","5yrave","omni-directional_wave_power_154",4027.519813,c(38.0774, -122.979)
"156",155,67.0549,9261.951,-8,"Federal","5yrave","omni-directional_wave_power_155",31980.56303,c(38.0827, -123.086)
"157",156,116.3984,22171.219,-8,"Federal","5yrave","omni-directional_wave_power_156",34922.2191,c(38.0814, -123.252)
"158",157,153.6522,35231.79,-8,"Federal","5yrave","omni-directional_wave_power_157",38536.52571,c(38.0823, -123.41)
"159",158,1304.8159,50383.09,-8,"Federal","5yrave","omni-directional_wave_power_158",40549.60605,c(38.075, -123.589)
"160",159,2946.6155,64387.887,-8,"Federal","5yrave","omni-directional_wave_power_159",42044.00666,c(38.0838, -123.752)
"161",160,3491.0366,74469.55,-8,"Federal","5yrave","omni-directional_wave_power_160",43369.52925,c(38.0789, -123.921)
"162",161,3671.4915,84750.5,-8,"Federal","5yrave","omni-directional_wave_power_161",44186.35106,c(38.0883, -124.091)
"163",162,20.0565,2091.1006,-8,"California","5yrave","omni-directional_wave_power_162",8265.318474,c(37.8582, -122.623)
"164",163,29.2378,3439.8572,-8,"California","5yrave","omni-directional_wave_power_163",17383.80156,c(37.8911, -122.763)
"165",164,57.2183,8949.349,-8,"Federal","5yrave","omni-directional_wave_power_164",25684.88562,c(37.9175, -122.917)
"166",165,84.5977,10136.101,-8,"Federal","5yrave","omni-directional_wave_power_165",33655.37542,c(37.9175, -123.086)
